AccSpeciesName,Leaf physical strength / toughness: tensile strength (N/m) and sclerophylly (categorical),Urbanity,Hemeroby,Leaf nitrogen content per dry mass (Nmass),Foliage Texture,Known Allelopath,Toxicity,Palatable Browse Animal,Palatable Human,Potential to cause bloat in livestock,Palatable Graze Animal,"Leaf force to punch, force required for a punch rod to penetrate a leaf per circumference of the punch (FP)",Species potential allelopathy,Leaf Fe (iron) content per dry mass
Acer campestre,4.51107809467452E-02_always mesomorphic,moderately urbanophobic,mesohemerobic_oligohemerobic,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA
Fagus sylvatica,6.04356868911071E-02_always mesomorphic,moderately urbanophobic,b-euhemerobic_mesohemerobic_oligohemerobic,2.10733333333333E-02_2.00991666666667E-02_1.95183333333333E-02_1.78873529411765E-02_2.30460465116279E-02_2.06102380952381E-02_2.46114285714286E-02_2.63933333333333E-02,NA,NA,low,NA,NA,NA,NA,NA,allelopathic,NA
Ligustrum vulgare,"4.73048788445751E-02_always mesomorphic, sometimes scleromorphic",moderately urbanophobic,b-euhemerobic_mesohemerobic_oligohemerobic,NA,Medium,No,None,Low,No,NA,Low,NA,NA,NA
Prunus avium,5.95282912504145E-02_always mesomorphic,moderately urbanophobic,mesohemerobic_oligohemerobic,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Rubus idaeus,3.42242019629386E-02_always mesomorphic,moderately urbanophobic,b-euhemerobic_mesohemerobic_oligohemerobic,NA,Coarse,No,Slight,Low,Yes,None,Low,NA,NA,NA
Tilia cordata,6.85460347063705E-02_always mesomorphic,moderately urbanophobic,b-euhemerobic_mesohemerobic_oligohemerobic,NA,Fine,No,None_none,NA,No,None,NA,NA,low allelopathic,NA
Acer negundo,always mesomorphic,moderately urbanophilic,b-euhemerobic_mesohemerobic,NA,Coarse,No,None_none,Low,No,NA,Low,NA,low allelopathic,NA
Acer platanoides,"sometimes hygromorphic, always mesomorphic",urbanoneutral,b-euhemerobic_a-euhemerobic_mesohemerobic_oligohemerobic,NA,Medium,No,None_none,Low,No,NA,Low,NA,low allelopathic,NA
Aesculus hippocastanum,always mesomorphic,moderately urbanophilic,b-euhemerobic_a-euhemerobic_mesohemerobic,NA,NA,NA,low,NA,NA,NA,NA,NA,allelopathic,NA
Amelanchier alnifolia,always mesomorphic,urbanoneutral,b-euhemerobic_mesohemerobic,NA,Coarse,No,None,High,Yes,None,Low,NA,NA,NA
Buxus sempervirens,always scleromorphic,moderately urbanophobic,mesohemerobic_oligohemerobic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus cerasus,always mesomorphic,urbanoneutral,b-euhemerobic_mesohemerobic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornus mas,"always mesomorphic, sometimes scleromorphic",moderately urbanophobic,b-euhemerobic_mesohemerobic_oligohemerobic,NA,Coarse,No,None_none,Medium,No,None,NA,NA,not allelopathic,NA
Cornus sericea,always mesomorphic,moderately urbanophilic,b-euhemerobic_mesohemerobic,NA,Coarse,No,None,High,No,None,Low,NA,NA,NA
